Site Outdoor Air Drybulb Temperature,Zone Windows Total Heat Gain Energy,Zone Air Relative Humidity,Zone Mechanical Ventilation Mass Flow Rate,Zone Thermostat Cooling Setpoint Temperature,Electricity_Zone_1
26.2,2199359.9150156034,56.55860697478589,68.02264625126938,24.0,5513748.527497057
25.7,4636326.181510519,55.953314998520696,68.02264625126938,24.0,5513748.527497057
24.5,4466365.132105454,55.3578349532718,68.02264625126938,24.0,5513748.527497057
22.9,898731.0366361928,54.85028367632765,68.02264625126938,24.0,4663261.826523656
21.5,299162.09289818804,54.4302313259699,68.02264625126938,24.0,3437984.375968754
20.5,50140.07898024641,54.03958794905921,68.02264625126938,24.0,3437984.375968754
20.3,0.0,49.25490577271381,4.85876044651924,24.0,2587497.674995352
20.5,0.0,54.69871386809707,0.0,24.0,2587497.674995352
20.9,0.0,57.66273976020442,0.0,24.0,1737010.9740219507
20.8,0.0,61.448645923199365,0.0,24.0,1618086.9861739753
20.0,0.0,63.7339953470196,0.0,24.0,1618086.9861739753
18.1,0.0,65.47542970548407,0.0,24.0,1618086.9861739753
15.1,0.0,62.56238383172881,0.0,24.0,1618086.9861739753
13.5,0.0,56.054436426374046,0.0,24.0,1618086.9861739753
14.6,0.0,49.88389310776306,0.0,24.0,1618086.9861739753
17.2,0.0,44.86968027590615,0.0,24.0,1737010.9740219507
20.5,2242247.399204289,39.324008095663494,0.0,24.0,1737010.9740219507
23.5,3851435.9388027336,46.40937471439416,0.0,24.0,2212706.9254138526
25.5,4885094.863115999,41.80993892240629,9.71752089303848,24.0,5513748.527497057
26.5,5023609.656692283,42.0794296089292,34.01132312563469,24.0,5513748.527497057
